url,url_length,num_dots,num_digits,has_https,keyword_bank,local_keyword_flag,label
http://www-bracbank.org.bd,26,2,0,0,1,1,1
http://online-shop.org.bd,25,2,0,1,0,1,0
http://secure-bank.edu.bd,25,2,0,1,0,1,0
http://login-portal.edu.bd,26,2,0,1,0,1,0
http://login-service.edu.bd,27,2,0,0,0,1,0
http://verify-site.edu.bd,25,2,0,1,0,1,0
http://secure-paypal.org.bd,27,2,0,0,1,1,1
http://login-site.org.bd,24,2,0,1,0,1,0
http://online-bank.com.bd,25,2,0,1,0,1,0
http://online-site.edu.bd,25,2,0,1,0,1,0
http://update-portal.edu.bd,27,2,0,1,0,1,0
http://update-site.edu.bd,25,2,0,0,0,1,0
http://login-shop.com.bd,24,2,0,1,0,1,0
http://login-site.com.bd,24,2,0,1,0,1,0
httpupda://te-banglalink.edu.bd,31,2,0,0,1,1,1
http://verify-shop.com.bd,25,2,0,0,0,1,0
http://online-portal.com.bd,27,2,0,1,0,1,0
http://login-update.org.bd,26,2,0,0,1,1,1
http://login-service.com.bd,27,2,0,0,1,1,1
http://online-secure.org.bd,27,2,0,0,1,1,1
http://verify-service.edu.bd,28,2,0,1,0,1,0
http://verify-service.org.bd,28,2,0,0,1,1,1
http://login-amazon.edu.bd,26,2,0,0,1,1,1
http://online-bracbank.edu.bd,29,2,0,0,1,1,1
http://online-amazon.com.bd,27,2,0,0,1,1,1
http://secure-ebl.edu.bd,24,2,0,0,1,1,1
http://update-portal.com.bd,27,2,0,1,0,1,0
http://online-bank.com.bd,25,2,0,1,0,1,0
http://verify-login.edu.bd,26,2,0,0,1,1,1
http://login-update.edu.bd,26,2,0,0,1,1,1
http://www-amazon.edu.bd,24,2,0,0,1,1,1
http://verify-site.edu.bd,25,2,0,1,0,1,0
http://verify-site.com.bd,25,2,0,1,0,1,0
http://verify-update.org.bd,27,2,0,0,1,1,1
http://login-ebl.org.bd,23,2,0,0,1,1,1
http://login-site.org.bd,24,2,0,0,0,1,0
http://login-portal.com.bd,26,2,0,1,0,1,0
http://update-amazon.edu.bd,27,2,0,0,1,1,1
http://update-shop.edu.bd,25,2,0,0,0,1,0
http://www-service.edu.bd,25,2,0,0,1,1,1
http://secure-portal.edu.bd,27,2,0,0,0,1,0
http://online-bracbank.org.bd,29,2,0,0,1,1,1
http://secure-paypal.org.bd,27,2,0,0,1,1,1
http://online-bank.edu.bd,25,2,0,0,0,1,0
http://secure-bank.org.bd,25,2,0,0,0,1,0
http://online-portal.org.bd,27,2,0,0,0,1,0
http://update-portal.com.bd,27,2,0,0,0,1,0
http://www-portal.edu.bd,24,2,0,1,0,1,0
http://www-site.org.bd,22,2,0,1,0,1,0
http://login-service.com.bd,27,2,0,0,0,1,0
http://www-bank.edu.bd,22,2,0,1,0,1,0
http://update-paypal.com.bd,27,2,0,0,1,1,1
http://www-login.com.bd,23,2,0,0,1,1,1
http://online-bank.edu.bd,25,2,0,0,0,1,0
http://secure-service.org.bd,28,2,0,1,0,1,0
http://secure-site.edu.bd,25,2,0,0,0,1,0
http://login-banglalink.edu.bd,30,2,0,0,1,1,1
http://verify-portal.com.bd,27,2,0,1,0,1,0
http://secure-banglalink.com.bd,31,2,0,0,1,1,1
http://online-banglalink.com.bd,31,2,0,0,1,1,1
http://online-amazon.com.bd,27,2,0,0,1,1,1
http://update-secure.org.bd,27,2,0,0,1,1,1
http://www-paypal.org.bd,24,2,0,0,1,1,1
http://verify-bracbank.edu.bd,29,2,0,0,1,1,1
